Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Age of the establishment (years),Proportion of private domestic ownership in a firm (%),Proportion of private foreign ownership in a firm (%),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of government/state ownership in a firm (%),Proportion of a firm held by the largest owner(s) (%),Percent of firms with legal status of Sole Proprietorship,Percent of firms with legal status of publicly listed company,Percent of firms with an internationally-recognized quality certification,Percent of firms with an annual financial statement reviewed by external auditors ,Percent of firms with legal status of privately held Limited Liability Company ,Percent of firms with legal status of Partnership,Percent of firms with legal status of Limited Partnership
Bolivia,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,20.2,90.8,...,11.1,0.1,...,...,38.0,...,8.6,73.5,...,...,...
Bolivia,2006,Sector,Services,All,Average,17.5,87.6,...,18.6,0.6,...,...,34.4,...,13.3,78.7,...,...,...
Bolivia,2006,Sector,Services,Retail,Average,20.6,86.9,...,12.5,0.0,...,...,33.8,...,23.0,75.9,...,...,...
Bolivia,2006,Sector,Services,Rest of Universe-Services,Average,15.8,88.0,...,22.0,0.9,...,...,34.7,...,7.8,80.2,...,...,...
Bolivia,2006,Size,,Small (5-19),Average,20.1,94.1,...,9.2,0.1,...,...,51.5,...,13.0,54.5,...,...,...
Bolivia,2006,Size,,Medium (20-99),Average,16.9,86.0,...,17.9,0.1,...,...,25.4,...,10.5,90.8,...,...,...
Bolivia,2006,Size,,Large (100+),Average,21.8,72.7,...,32.4,5.1,...,...,8.4,...,43.7,91.9,...,...,...
Bolivia,2006,Location,,Cochabamba,Average,24.3,89.2,...,11.2,0.2,...,...,42.8,...,19.3,65.6,...,...,...
Bolivia,2006,Location,,La Paz,Average,17.4,87.3,...,19.9,0.6,...,...,39.2,...,14.1,67.3,...,...,...
Bolivia,2006,Location,,Santa Cruz,Average,17.6,93.3,...,7.4,0.2,...,...,35.9,...,9.6,78.9,...,...,...
Bolivia,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,21.6,90.9,...,11.9,0.3,...,...,26.9,...,20.4,86.5,...,...,...
Bolivia,2006,Exporter Type,,Non-exporter,Average,18.6,89.6,...,14.2,0.4,...,...,40.5,...,12.9,68.7,...,...,...
Bolivia,2006,Ownership Type,,Domestic,Average,19.9,99.3,...,0.0,0.1,...,...,44.6,...,13.1,66.9,...,...,...
Bolivia,2006,Ownership Type,,10% or more foreign ownership,Average,13.0,30.6,...,100.0,2.1,...,...,3.6,...,18.1,95.2,...,...,...
Bolivia,2010,,,,Average,28.9,90.5,...,11.0,0.0,...,...,28.5,...,22.3,80.4,...,...,...
Bolivia,2010,Sector,Manufacturing,All,Average,26.9,87.1,...,14.1,0.0,...,...,25.9,...,25.0,73.4,...,...,...
Bolivia,2010,Sector,Manufacturing,Manufacturing,Average,26.9,87.1,...,14.1,0.0,...,...,25.9,...,25.0,73.4,...,...,...
Bolivia,2010,Sector,Services,All,Average,31.1,93.8,...,7.9,0.1,...,...,31.0,...,20.0,87.4,...,...,...
Bolivia,2010,Sector,Services,Retail,Average,52.4,98.9,...,1.8,0.0,...,...,31.2,...,22.9,97.4,...,...,...
Bolivia,2010,Sector,Services,Other Services,Average,25.3,92.5,...,9.5,0.1,...,...,31.0,...,19.2,85.1,...,...,...
Bolivia,2010,Size,,Medium (20-99),Average,25.9,92.0,...,8.7,0.0,...,...,18.2,...,28.2,97.8,...,...,...
Bolivia,2010,Size,,Small (5-19),Average,31.6,89.1,...,12.4,0.0,...,...,42.9,...,11.8,61.6,...,...,...
Bolivia,2010,Size,,Large (100+),Average,29.3,91.1,...,13.5,0.4,...,...,2.4,...,50.0,96.9,...,...,...
Bolivia,2010,Location,,Cochabamba,Average,38.9,97.8,...,2.9,0.0,...,...,28.5,...,22.6,75.8,...,...,...
Bolivia,2010,Location,,La Paz,Average,29.4,88.5,...,13.5,0.1,...,...,32.1,...,12.9,77.7,...,...,...
Bolivia,2010,Location,,Santa Cruz,Average,22.2,87.9,...,13.5,0.0,...,...,24.2,...,33.8,86.5,...,...,...
Bolivia,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,16.2,75.2,...,33.3,0.0,...,...,0.0,...,8.3,66.9,...,...,...
Bolivia,2010,Exporter Type,,Non-exporter,Average,30.0,91.8,...,9.2,0.0,...,...,30.8,...,23.5,81.5,...,...,...
Bolivia,2010,Gender of Top Manager,,Top manager is female,Average,20.1,91.2,...,11.5,0.0,...,...,53.2,...,7.0,62.9,...,...,...
Bolivia,2010,Gender of Top Manager,,Top manager is male,Average,31.0,90.3,...,10.9,0.1,...,...,21.8,...,26.9,85.9,...,...,...
Bolivia,2010,Ownership Type,,Domestic,Average,29.4,100.0,...,0.0,0.0,...,...,28.4,...,20.5,81.3,...,...,...
Bolivia,2010,Ownership Type,,10% or more foreign ownership,Average,26.3,13.7,...,100.0,0.4,...,...,30.2,...,33.3,71.7,...,...,...
Bolivia,2017,,,,Average,19.1,89.9,...,10.2,0.0,...,...,44.9,...,11.6,64.8,...,...,...
Bolivia,2017,Sector,Manufacturing,All,Average,20.1,87.1,...,5.8,0.1,...,...,65.4,...,12.4,43.0,...,...,...
Bolivia,2017,Sector,Manufacturing,Manufacturing,Average,20.1,87.1,...,5.8,0.1,...,...,65.4,...,12.4,43.0,...,...,...
Bolivia,2017,Sector,Services,All,Average,18.8,90.9,...,11.8,0.0,...,...,37.6,...,11.4,72.6,...,...,...
Bolivia,2017,Sector,Services,Retail,Average,17.5,93.6,...,6.4,0.0,...,...,75.7,...,3.6,69.6,...,...,...
Bolivia,2017,Sector,Services,Other Services,Average,19.2,90.1,...,13.4,0.0,...,...,26.2,...,13.8,73.5,...,...,...
Bolivia,2017,Size,,Small (5-19),Average,17.6,88.0,...,12.2,0.0,...,...,55.8,...,3.3,58.4,...,...,...
Bolivia,2017,Size,,Medium (20-99),Average,21.9,96.0,...,3.7,0.1,...,...,12.3,...,37.6,83.0,...,...,...
Bolivia,2017,Size,,Large (100+),Average,31.0,93.6,...,6.1,0.3,...,...,12.0,...,39.7,87.3,...,...,...
Bolivia,2017,Location,,Cochabamba,Average,19.8,85.8,...,5.4,0.1,...,...,50.4,...,6.7,63.9,...,...,...
Bolivia,2017,Location,,La Paz,Average,21.2,88.7,...,16.2,0.0,...,...,47.4,...,10.3,60.0,...,...,...
Bolivia,2017,Location,,Santa Cruz,Average,16.9,93.5,...,7.9,0.0,...,...,39.5,...,16.0,69.5,...,...,...
Bolivia,2017,Exporter Type,,Direct exports are 10% or more of sales,Average,20.8,65.7,...,64.5,0.0,...,...,0.2,...,1.9,100.0,...,...,...
Bolivia,2017,Exporter Type,,Non-exporter,Average,18.8,91.6,...,6.1,0.0,...,...,49.5,...,10.5,63.3,...,...,...
Bolivia,2017,Gender of Top Manager,,Top manager is female,Average,15.6,86.8,...,20.9,0.0,...,...,64.6,...,5.4,64.7,...,...,...
Bolivia,2017,Gender of Top Manager,,Top manager is male,Average,20.4,91.0,...,6.4,0.0,...,...,37.9,...,13.9,64.8,...,...,...
Bolivia,2017,Ownership Type,,Domestic,Average,19.1,96.2,...,0.0,0.0,...,...,50.0,...,10.5,62.0,...,...,...
Bolivia,2017,Ownership Type,,10% or more foreign ownership,Average,19.7,34.7,...,100.0,0.0,...,...,0.0,...,22.4,89.0,...,...,...
Brazil,2009,,,,Average,18.6,98.0,...,2.4,0.0,...,...,4.2,...,13.1,13.8,...,...,...
Brazil,2009,Sector,Manufacturing,All,Average,19.2,96.9,...,4.2,0.0,...,...,4.9,...,20.5,16.9,...,...,...
Brazil,2009,Sector,Manufacturing,Food,Average,15.4,99.2,...,1.0,0.2,...,...,4.3,...,10.0,13.0,...,...,...
Brazil,2009,Sector,Manufacturing,Textiles,Average,26.7,99.3,...,0.7,0.0,...,...,1.3,...,60.5,4.7,...,...,...
Brazil,2009,Sector,Manufacturing,Garments,Average,18.4,99.9,...,0.3,0.0,...,...,14.3,...,1.9,12.1,...,...,...
Brazil,2009,Sector,Manufacturing,Leather Products,Average,19.8,97.8,...,2.4,0.0,...,...,9.4,...,6.4,9.4,...,...,...
Brazil,2009,Sector,Manufacturing,Chemicals & Chemical Products,Average,23.2,92.8,...,7.3,0.2,...,...,1.5,...,55.4,23.0,...,...,...
Brazil,2009,Sector,Manufacturing,Machinery & Equipment,Average,17.1,78.6,...,38.7,0.0,...,...,2.6,...,30.8,56.9,...,...,...
Brazil,2009,Sector,Manufacturing,Motor Vehicles,Average,15.3,91.5,...,8.2,0.0,...,...,40.4,...,38.7,25.3,...,...,...
Brazil,2009,Sector,Manufacturing,Furniture,Average,22.4,97.2,...,0.9,0.0,...,...,7.0,...,5.1,14.4,...,...,...
Brazil,2009,Sector,Manufacturing,Other Manufacturing,Average,19.3,98.4,...,1.7,0.0,...,...,2.0,...,14.6,13.9,...,...,...
Brazil,2009,Sector,Services,All,Average,18.1,98.6,...,1.4,0.0,...,...,3.8,...,8.2,11.7,...,...,...
Brazil,2009,Sector,Services,Retail,Average,18.3,100.0,...,0.0,0.0,...,...,1.8,...,1.2,12.3,...,...,...
Brazil,2009,Sector,Services,IT & IT Services,Average,15.1,98.6,...,1.5,0.0,...,...,3.6,...,10.2,17.2,...,...,...
Brazil,2009,Sector,Services,Other Services,Average,18.3,97.8,...,2.2,0.0,...,...,5.1,...,12.6,10.8,...,...,...
Brazil,2009,Size,,Medium (20-99),Average,20.9,98.4,...,1.6,0.0,...,...,2.1,...,20.5,25.3,...,...,...
Brazil,2009,Size,,Small (5-19),Average,16.4,98.2,...,2.4,0.0,...,...,5.3,...,7.8,7.4,...,...,...
Brazil,2009,Size,,Large (100+),Average,33.5,92.7,...,7.5,0.3,...,...,0.9,...,42.1,37.9,...,...,...
Brazil,2009,Location,,Amazonas,Average,15.7,99.8,...,0.2,0.0,...,...,34.7,...,14.0,14.4,...,...,...
Brazil,2009,Location,,Bahia,Average,16.4,99.4,...,0.6,0.0,...,...,0.9,...,5.5,23.2,...,...,...
Brazil,2009,Location,,Brasilia DF,Average,12.7,99.9,...,0.6,0.0,...,...,0.8,...,0.7,29.4,...,...,...
Brazil,2009,Location,,Ceara,Average,14.3,100.0,...,0.0,0.0,...,...,13.7,...,7.7,20.4,...,...,...
Brazil,2009,Location,,Goias,Average,17.0,99.5,...,1.0,0.0,...,...,0.2,...,18.2,30.5,...,...,...
Brazil,2009,Location,,Maranhao,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Brazil,2009,Location,,Mato Grosso,Average,14.6,100.0,...,0.0,0.0,...,...,0.6,...,1.3,16.4,...,...,...
Brazil,2009,Location,,Minas Gerais,Average,18.6,99.8,...,0.2,0.0,...,...,4.9,...,11.5,9.0,...,...,...
Brazil,2009,Location,,Paraiba,Average,24.8,100.0,...,0.0,0.0,...,...,38.8,...,35.7,25.6,...,...,...
Brazil,2009,Location,,Parana,Average,15.1,92.3,...,7.9,0.1,...,...,8.8,...,10.7,3.1,...,...,...
Brazil,2009,Location,,Pernambuco,Average,12.6,100.0,...,0.0,0.0,...,...,41.7,...,13.6,54.1,...,...,...
Brazil,2009,Location,,Rio de Janeiro,Average,17.0,99.7,...,0.4,0.0,...,...,0.2,...,11.5,16.3,...,...,...
Brazil,2009,Location,,Rio Grande do Sul,Average,18.4,97.9,...,1.3,0.1,...,...,7.5,...,7.7,20.5,...,...,...
Brazil,2009,Location,,Santa Catarina,Average,12.5,96.1,...,8.3,0.0,...,...,10.2,...,20.2,14.4,...,...,...
Brazil,2009,Location,,Sao Paulo,Average,22.1,98.4,...,1.6,0.0,...,...,1.1,...,14.6,12.3,...,...,...
Brazil,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,16.8,83.9,...,18.1,1.4,...,...,0.9,...,27.9,17.8,...,...,...
Brazil,2009,Exporter Type,,Non-exporter,Average,18.6,98.2,...,2.3,0.0,...,...,4.4,...,12.4,13.7,...,...,...
Brazil,2009,Gender of Top Manager,,Top manager is female,Average,18.2,99.9,...,0.1,0.0,...,...,7.9,...,13.7,6.5,...,...,...
Brazil,2009,Gender of Top Manager,,Top manager is male,Average,18.7,97.6,...,2.9,0.0,...,...,3.4,...,12.9,15.5,...,...,...
Brazil,2009,Ownership Type,,Domestic,Average,19.5,99.9,...,0.0,0.0,...,...,5.7,...,10.2,10.9,...,...,...
Brazil,2009,Ownership Type,,10% or more foreign ownership,Average,12.9,19.8,...,100.0,0.8,...,...,32.2,...,57.4,62.0,...,...,...
Barbados,2010,,,,Average,15.0,88.4,...,11.8,0.9,...,...,33.3,...,18.3,69.8,...,...,...
Barbados,2010,Sector,Manufacturing,All,Average,19.2,89.8,...,10.7,5.2,...,...,34.9,...,12.4,78.6,...,...,...
Barbados,2010,Sector,Manufacturing,Manufacturing,Average,19.2,89.8,...,10.7,5.2,...,...,34.9,...,12.4,78.6,...,...,...
Barbados,2010,Sector,Services,All,Average,14.4,88.1,...,12.0,0.2,...,...,33.1,...,19.3,68.4,...,...,...
Barbados,2010,Sector,Services,Services,Average,14.4,88.1,...,12.0,0.2,...,...,33.1,...,19.3,68.4,...,...,...
Barbados,2010,Size,,Medium (20-99),Average,18.5,90.9,...,14.0,0.0,...,...,10.6,...,35.4,83.8,...,...,...
Barbados,2010,Size,,Small (5-19),Average,12.8,92.5,...,4.6,1.1,...,...,47.1,...,4.6,60.1,...,...,...
Barbados,2010,Size,,Large (100+),Average,22.3,46.5,...,61.9,2.2,...,...,0.9,...,70.2,100.0,...,...,...
Barbados,2010,Location,,Entire Country,Average,15.0,88.4,...,11.8,0.9,...,...,33.3,...,18.3,69.8,...,...,...
Barbados,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,11.7,68.4,...,23.0,4.4,...,...,5.1,...,29.7,86.3,...,...,...
Barbados,2010,Exporter Type,,Non-exporter,Average,15.9,93.5,...,9.0,0.0,...,...,40.5,...,15.4,65.6,...,...,...
Barbados,2010,Gender of Top Manager,,Top manager is female,Average,10.4,96.0,...,7.1,0.7,...,...,15.2,...,15.7,73.7,...,...,...
Barbados,2010,Gender of Top Manager,,Top manager is male,Average,16.6,85.8,...,13.4,1.0,...,...,39.5,...,19.2,68.5,...,...,...
Barbados,2010,Ownership Type,,Domestic,Average,15.0,97.6,...,0.0,1.0,...,...,34.9,...,14.2,65.9,...,...,...
Barbados,2010,Ownership Type,,10% or more foreign ownership,Average,15.3,19.0,...,100.0,0.0,...,...,21.8,...,49.0,99.1,...,...,...
Bhutan,2009,,,,Average,14.6,93.4,...,6.3,0.5,...,...,90.5,...,5.4,50.4,...,...,...
Bhutan,2009,Sector,Manufacturing,All,Average,12.2,98.0,...,0.8,2.4,...,...,64.9,...,13.1,60.8,...,...,...
Bhutan,2009,Sector,Manufacturing,Manufacturing,Average,12.2,98.0,...,0.8,2.4,...,...,64.9,...,13.1,60.8,...,...,...
Bhutan,2009,Sector,Services,All,Average,15.2,92.1,...,7.8,0.0,...,...,97.4,...,3.3,47.6,...,...,...
Bhutan,2009,Sector,Services,Services,Average,15.2,92.1,...,7.8,0.0,...,...,97.4,...,3.3,47.6,...,...,...
Bhutan,2009,Size,,Small (5-19),Average,14.4,92.6,...,7.4,0.0,...,...,95.9,...,3.4,44.6,...,...,...
Bhutan,2009,Size,,Medium (20-99),Average,15.8,96.5,...,2.5,0.0,...,...,86.0,...,10.0,64.5,...,...,...
Bhutan,2009,Size,,Large (100+),Average,12.4,92.3,...,6.0,7.2,...,...,49.3,...,13.0,67.6,...,...,...
Bhutan,2009,Location,,Gelephu/Sarpang,Average,14.2,100.0,...,0.0,0.0,...,...,100.0,...,0.0,8.7,...,...,...
Bhutan,2009,Location,,Phuentsholing,Average,15.3,93.3,...,6.0,1.6,...,...,79.1,...,12.1,65.0,...,...,...
Bhutan,2009,Location,,Samdrup Jongkhar,Average,21.2,78.0,...,22.0,0.0,...,...,97.6,...,0.0,38.8,...,...,...
Bhutan,2009,Location,,Thimphu/Paro,Average,11.6,99.2,...,0.5,0.3,...,...,91.7,...,5.2,52.0,...,...,...
Bhutan,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,10.7,97.1,...,0.0,4.7,...,...,46.0,...,22.8,86.5,...,...,...
Bhutan,2009,Exporter Type,,Non-exporter,Average,14.9,93.1,...,6.8,0.2,...,...,94.1,...,4.0,47.5,...,...,...
Bhutan,2009,Ownership Type,,Domestic,Average,13.3,99.5,...,0.0,0.5,...,...,90.3,...,5.7,51.3,...,...,...
Bhutan,2009,Ownership Type,,10% or more foreign ownership,Average,33.9,2.9,...,100.0,0.0,...,...,93.2,...,0.0,36.8,...,...,...
Bhutan,2015,,,,Average,14.7,95.5,...,3.7,1.5,...,...,82.0,...,3.7,35.8,...,...,...
Bhutan,2015,Sector,Manufacturing,All,Average,12.1,94.4,...,3.2,2.4,...,...,75.8,...,8.5,36.9,...,...,...
Bhutan,2015,Sector,Manufacturing,Food,Average,15.3,96.3,...,6.2,0.0,...,...,82.4,...,11.7,23.4,...,...,...
Bhutan,2015,Sector,Manufacturing,Other Manufacturing,Average,11.8,94.2,...,2.9,2.6,...,...,75.1,...,8.2,38.3,...,...,...
Bhutan,2015,Sector,Services,All,Average,15.2,95.8,...,3.8,1.3,...,...,83.2,...,2.8,35.5,...,...,...
Bhutan,2015,Sector,Services,Hospitality & Tourism,Average,12.5,98.1,...,3.1,0.0,...,...,94.2,...,3.2,35.6,...,...,...
Bhutan,2015,Sector,Services,Other Services,Average,16.7,94.5,...,4.1,2.0,...,...,77.4,...,2.7,35.5,...,...,...
Bhutan,2015,Size,,Small (5-19),Average,13.3,96.8,...,2.9,0.0,...,...,91.4,...,0.4,22.8,...,...,...
Bhutan,2015,Size,,Medium (20-99),Average,16.7,93.9,...,5.6,4.5,...,...,67.1,...,5.7,64.5,...,...,...
Bhutan,2015,Size,,Large (100+),Average,27.2,84.5,...,4.7,8.9,...,...,14.4,...,46.1,83.7,...,...,...
Bhutan,2015,Location,,Gelephu/Sarpang,Average,34.1,97.4,...,0.0,0.0,...,...,94.0,...,5.1,8.2,...,...,...
Bhutan,2015,Location,,Phuentsholing,Average,14.2,92.6,...,3.9,5.8,...,...,80.9,...,5.2,56.3,...,...,...
Bhutan,2015,Location,,Samdrup Jongkhar,Average,19.4,97.5,...,3.1,0.0,...,...,85.5,...,1.0,8.9,...,...,...
Bhutan,2015,Location,,Thimphu/Paro,Average,11.0,95.8,...,4.3,0.7,...,...,79.9,...,3.5,38.2,...,...,...
Bhutan,2015,Exporter Type,,Direct exports are 10% or more of sales,Average,18.1,85.2,...,19.9,9.1,...,...,39.2,...,38.9,81.2,...,...,...
Bhutan,2015,Exporter Type,,Non-exporter,Average,14.5,95.9,...,3.0,1.3,...,...,83.6,...,2.4,34.1,...,...,...
Bhutan,2015,Gender of Top Manager,,Top manager is female,Average,8.5,96.6,...,3.7,1.4,...,...,92.5,...,0.7,29.6,...,...,...
Bhutan,2015,Gender of Top Manager,,Top manager is male,Average,16.9,95.1,...,3.7,1.5,...,...,78.3,...,4.8,38.0,...,...,...
Bhutan,2015,Ownership Type,,Domestic,Average,14.7,98.5,...,0.0,1.2,...,...,83.0,...,3.2,33.5,...,...,...
Bhutan,2015,Ownership Type,,10% or more foreign ownership,Average,14.8,16.9,...,100.0,9.9,...,...,60.2,...,13.4,92.5,...,...,...
Botswana,2006,,,,Average,10.1,58.4,...,47.7,1.0,...,...,18.0,...,12.7,66.2,...,...,...
Botswana,2006,Sector,Manufacturing,All,Average,11.2,57.1,...,49.1,2.9,...,...,15.3,...,16.5,71.9,...,...,...
Botswana,2006,Sector,Manufacturing,Food,Average,8.0,84.3,...,27.3,0.0,...,...,6.8,...,38.6,72.7,...,...,...
Botswana,2006,Sector,Manufacturing,Garments,Average,12.2,90.6,...,17.9,0.0,...,...,29.3,...,19.5,62.6,...,...,...
Botswana,2006,Sector,Manufacturing,Other Manufacturing,Average,11.4,47.9,...,57.3,3.8,...,...,13.8,...,13.4,73.5,...,...,...
Botswana,2006,Sector,Services,All,Average,9.9,58.6,...,47.5,0.7,...,...,18.5,...,12.0,65.2,...,...,...
Botswana,2006,Sector,Services,Retail,Average,10.4,53.1,...,54.2,0.0,...,...,17.2,...,10.9,66.3,...,...,...
Botswana,2006,Sector,Services,Other Services,Average,9.4,66.2,...,38.1,1.6,...,...,20.3,...,13.5,63.7,...,...,...
Botswana,2006,Size,,Small (5-19),Average,8.4,60.5,...,45.0,0.0,...,...,22.7,...,7.7,59.7,...,...,...
Botswana,2006,Size,,Medium (20-99),Average,12.5,53.4,...,51.8,3.8,...,...,10.5,...,23.1,74.2,...,...,...
Botswana,2006,Size,,Large (100+),Average,17.2,55.3,...,57.7,1.6,...,...,1.6,...,23.2,94.2,...,...,...
Botswana,2006,Location,,Francistown,Average,10.2,36.1,...,73.9,0.0,...,...,16.5,...,11.8,67.4,...,...,...
Botswana,2006,Location,,Gaborone,Average,10.1,63.7,...,41.5,1.3,...,...,18.3,...,12.9,65.9,...,...,...
Botswana,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,11.7,31.9,...,68.6,10.4,...,...,7.0,...,17.6,89.7,...,...,...
Botswana,2006,Exporter Type,,Non-exporter,Average,10.1,59.6,...,46.8,0.6,...,...,18.5,...,12.4,65.2,...,...,...
Botswana,2006,Ownership Type,,Domestic,Average,9.7,99.7,...,0.0,0.3,...,...,25.0,...,12.9,63.1,...,...,...
Botswana,2006,Ownership Type,,10% or more foreign ownership,Average,10.6,13.2,...,100.0,1.8,...,...,10.5,...,12.5,69.3,...,...,...
Botswana,2010,,,,Average,15.7,58.0,...,48.9,0.2,...,...,22.7,...,21.3,71.6,...,...,...
Botswana,2010,Sector,Manufacturing,All,Average,15.9,55.5,...,48.7,1.0,...,...,17.6,...,20.8,80.5,...,...,...
Botswana,2010,Sector,Manufacturing,Manufacturing,Average,15.9,55.5,...,48.7,1.0,...,...,17.6,...,20.8,80.5,...,...,...
Botswana,2010,Sector,Services,All,Average,15.6,58.6,...,48.9,0.0,...,...,23.9,...,21.5,69.5,...,...,...
Botswana,2010,Sector,Services,Retail,Average,16.1,55.7,...,54.3,0.0,...,...,22.7,...,23.3,74.2,...,...,...
Botswana,2010,Sector,Services,Other Services,Average,15.2,61.0,...,44.4,0.0,...,...,24.9,...,20.0,65.8,...,...,...
Botswana,2010,Size,,Small (5-19),Average,12.8,57.1,...,50.1,0.0,...,...,22.8,...,18.1,63.4,...,...,...
Botswana,2010,Size,,Medium (20-99),Average,16.6,60.0,...,44.7,0.0,...,...,25.0,...,16.5,81.0,...,...,...
Botswana,2010,Size,,Large (100+),Average,26.5,57.8,...,52.5,1.5,...,...,17.1,...,47.8,86.9,...,...,...
Botswana,2010,Location,,Francistown,Average,19.7,51.1,...,56.2,0.0,...,...,30.6,...,23.6,81.3,...,...,...
Botswana,2010,Location,,Gaborone,Average,15.3,58.7,...,48.1,0.2,...,...,21.9,...,21.1,70.6,...,...,...
Botswana,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,16.1,34.2,...,68.8,0.0,...,...,27.0,...,24.7,77.6,...,...,...
Botswana,2010,Exporter Type,,Non-exporter,Average,15.7,58.9,...,48.1,0.2,...,...,22.6,...,21.2,71.4,...,...,...
Botswana,2010,Gender of Top Manager,,Top manager is female,Average,14.8,64.1,...,42.4,0.0,...,...,28.3,...,23.6,50.4,...,...,...
Botswana,2010,Gender of Top Manager,,Top manager is male,Average,15.8,56.8,...,50.1,0.2,...,...,21.6,...,20.9,75.7,...,...,...
Botswana,2010,Ownership Type,,Domestic,Average,14.9,99.3,...,0.0,0.0,...,...,32.7,...,12.5,66.0,...,...,...
Botswana,2010,Ownership Type,,10% or more foreign ownership,Average,16.4,14.8,...,100.0,0.4,...,...,12.6,...,30.2,77.0,...,...,...
Central African Republic,2011,,,,Average,11.7,65.0,...,42.6,9.6,...,...,54.1,...,37.0,54.3,...,...,...
Central African Republic,2011,Sector,Manufacturing,All,Average,9.6,62.2,...,48.3,4.7,...,...,54.7,...,31.3,56.7,...,...,...
Central African Republic,2011,Sector,Manufacturing,Manufacturing,Average,9.6,62.2,...,48.3,4.7,...,...,54.7,...,31.3,56.7,...,...,...
Central African Republic,2011,Sector,Services,All,Average,12.3,65.7,...,41.1,10.9,...,...,54.0,...,38.5,53.6,...,...,...
Central African Republic,2011,Sector,Services,Services,Average,12.3,65.7,...,41.1,10.9,...,...,54.0,...,38.5,53.6,...,...,...
Central African Republic,2011,Size,,Small (5-19),Average,9.4,74.0,...,31.7,8.7,...,...,61.0,...,34.0,44.6,...,...,...
Central African Republic,2011,Size,,Medium (20-99),Average,15.5,48.6,...,63.7,12.6,...,...,43.5,...,42.5,75.6,...,...,...
Central African Republic,2011,Size,,Large (100+),Average,20.0,40.0,...,67.7,7.4,...,...,27.9,...,45.1,67.7,...,...,...
Central African Republic,2011,Location,,Bangui,Average,11.9,64.5,...,43.2,10.0,...,...,53.8,...,37.6,54.9,...,...,...
Central African Republic,2011,Location,,Berberati,Average,7.9,78.8,...,25.0,0.0,...,...,62.5,...,16.7,37.5,...,...,...
Central African Republic,2011,Exporter Type,,Direct exports are 10% or more of sales,Average,9.5,66.9,...,46.9,20.7,...,...,18.1,...,66.6,48.5,...,...,...
Central African Republic,2011,Exporter Type,,Non-exporter,Average,12.2,64.4,...,42.3,8.2,...,...,58.7,...,33.1,55.6,...,...,...
Central African Republic,2011,Gender of Top Manager,,Top manager is female,Average,8.9,84.5,...,22.6,12.5,...,...,60.9,...,31.7,58.5,...,...,...
Central African Republic,2011,Gender of Top Manager,,Top manager is male,Average,12.1,62.3,...,45.3,9.2,...,...,53.2,...,37.7,53.7,...,...,...
Central African Republic,2011,Ownership Type,,Domestic,Average,10.7,98.3,...,0.0,2.7,...,...,70.5,...,20.5,43.0,...,...,...
Central African Republic,2011,Ownership Type,,10% or more foreign ownership,Average,13.1,20.0,...,100.0,19.0,...,...,32.1,...,58.5,69.5,...,...,...
Chile,2006,,,,Average,24.7,92.3,...,8.4,0.0,...,...,14.3,...,22.0,46.5,...,...,...
Chile,2006,Sector,Manufacturing,All,Average,28.0,96.3,...,4.6,0.0,...,...,9.9,...,16.8,31.6,...,...,...
Chile,2006,Sector,Manufacturing,Food,Average,32.8,95.4,...,6.9,0.0,...,...,21.1,...,17.9,42.6,...,...,...
Chile,2006,Sector,Manufacturing,Garments,Average,26.6,100.0,...,0.0,0.0,...,...,10.3,...,4.6,26.2,...,...,...
Chile,2006,Sector,Manufacturing,Chemicals & Chemical Products,Average,30.7,84.2,...,17.9,0.0,...,...,1.9,...,42.7,49.9,...,...,...
Chile,2006,Sector,Manufacturing,Non-Metallic Mineral Products,Average,35.0,75.5,...,31.9,0.0,...,...,0.0,...,42.0,64.8,...,...,...
Chile,2006,Sector,Manufacturing,Manufacturing,Average,25.4,99.9,...,0.1,0.0,...,...,0.0,...,7.2,11.4,...,...,...
Chile,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,27.4,95.8,...,4.9,0.0,...,...,16.7,...,23.4,43.0,...,...,...
Chile,2006,Sector,Services,All,Average,23.2,90.5,...,10.1,0.0,...,...,16.4,...,24.4,53.6,...,...,...
Chile,2006,Sector,Services,Retail,Average,21.2,90.7,...,10.2,0.0,...,...,14.6,...,7.8,50.0,...,...,...
Chile,2006,Sector,Services,IT & IT Services,Average,14.6,97.1,...,3.6,0.0,...,...,1.8,...,14.3,42.1,...,...,...
Chile,2006,Sector,Services,Services,Average,22.2,85.0,...,14.9,0.0,...,...,22.1,...,42.5,58.1,...,...,...
Chile,2006,Sector,Services,Rest of Universe-Services,Average,35.8,99.6,...,1.9,0.0,...,...,15.9,...,33.2,58.9,...,...,...
