Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Percent of firms with female participation in ownership,Percent of firms with majority female ownership,Percent of firms with a female top manager,Proportion of permanent full-time workers that are female (%),Proportion of permanent full-time production workers that are female (%)*,Proportion of permanent full-time non-production workers that are female (%)*
Dominican Republic,2010,Ownership Type,,10% or more foreign ownership,Average,26.3,...,5.5,48.5,28.4,41.7
Dominican Republic,2016,,,,Average,32.2,13.4,21.2,33.6,31.8,57.9
Dominican Republic,2016,Sector,Manufacturing,All,Average,52.9,11.2,11.6,38.8,31.8,57.9
Dominican Republic,2016,Sector,Manufacturing,Manufacturing,Average,52.9,11.2,11.6,38.8,31.8,57.9
Dominican Republic,2016,Sector,Services,All,Average,28.4,13.8,23.0,32.7,...,...
Dominican Republic,2016,Sector,Services,Retail,Average,36.1,20.2,24.3,38.0,...,...
Dominican Republic,2016,Sector,Services,Other Services,Average,20.4,7.4,21.7,27.1,...,...
Dominican Republic,2016,Size,,Small (5-19),Average,32.6,17.3,25.0,35.9,41.4,71.2
Dominican Republic,2016,Size,,Medium (20-99),Average,35.6,8.2,12.8,29.0,19.1,55.5
Dominican Republic,2016,Size,,Large (100+),Average,21.6,1.4,18.1,29.9,45.0,43.3
Dominican Republic,2016,Location,,Rest of the country,Average,34.7,18.9,27.0,32.8,23.5,44.9
Dominican Republic,2016,Location,,"Santiago,  Puerto Plata, Espaillat",Average,21.8,10.3,17.2,41.5,41.4,60.5
Dominican Republic,2016,Location,,Santo Domingo,Average,35.1,11.6,19.6,30.9,31.6,64.4
Dominican Republic,2016,Exporter Type,,Direct exports are 10% or more of sales,Average,17.0,0.0,12.0,39.7,41.3,50.2
Dominican Republic,2016,Exporter Type,,Non-exporter,Average,33.2,14.2,21.8,33.3,29.1,60.5
Dominican Republic,2016,Gender of Top Manager,,Top manager is female,Average,62.1,42.6,100.0,43.5,19.4,78.8
Dominican Republic,2016,Gender of Top Manager,,Top manager is male,Average,24.4,5.8,0.0,30.8,33.5,55.0
Dominican Republic,2016,Ownership Type,,Domestic,Average,33.1,14.0,21.7,33.5,32.1,58.7
Dominican Republic,2016,Ownership Type,,10% or more foreign ownership,Average,15.8,1.7,11.9,35.7,29.1,51.7
Ecuador,2006,,,,Average,32.7,...,...,24.2,15.6,49.6
Ecuador,2006,Sector,Manufacturing,All,Average,24.7,...,...,24.2,15.6,49.6
Ecuador,2006,Sector,Manufacturing,Food,Average,35.2,...,...,30.9,23.5,49.3
Ecuador,2006,Sector,Manufacturing,Garments,Average,48.2,...,...,80.6,87.0,68.9
Ecuador,2006,Sector,Manufacturing,Chemicals & Chemical Products,Average,38.6,...,...,35.5,25.2,52.0
Ecuador,2006,Sector,Manufacturing,Manufacturing,Average,n.a.,...,...,...,...,...
Ecuador,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,21.2,...,...,19.9,10.7,48.7
Ecuador,2006,Sector,Services,All,Average,38.5,...,...,...,...,...
Ecuador,2006,Sector,Services,Retail,Average,41.7,...,...,...,...,...
Ecuador,2006,Sector,Services,Services,Average,n.a.,...,...,...,...,...
Ecuador,2006,Sector,Services,Rest of Universe-Services,Average,33.8,...,...,...,...,...
Ecuador,2006,Size,,Small (5-19),Average,36.8,...,...,23.1,12.7,48.9
Ecuador,2006,Size,,Medium (20-99),Average,28.1,...,...,25.1,16.8,53.4
Ecuador,2006,Size,,Large (100+),Average,23.4,...,...,26.5,23.2,45.2
Ecuador,2006,Location,,Azuay,Average,36.0,...,...,48.1,43.9,56.0
Ecuador,2006,Location,,Guayas,Average,34.1,...,...,22.0,12.0,50.7
Ecuador,2006,Location,,Pichincha,Average,31.0,...,...,25.4,17.6,48.5
Ecuador,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,33.1,...,...,19.9,11.2,54.1
Ecuador,2006,Exporter Type,,Non-exporter,Average,32.7,...,...,24.9,16.3,49.0
Ecuador,2006,Ownership Type,,Domestic,Average,33.8,...,...,24.4,15.5,49.3
Ecuador,2006,Ownership Type,,10% or more foreign ownership,Average,25.8,...,...,22.9,16.4,52.2
Ecuador,2010,,,,Average,24.1,...,17.0,35.6,19.2,55.2
Ecuador,2010,Sector,Manufacturing,All,Average,22.2,...,16.7,32.6,19.2,55.2
Ecuador,2010,Sector,Manufacturing,Manufacturing,Average,22.2,...,16.7,32.6,19.2,55.2
Ecuador,2010,Sector,Services,All,Average,24.8,...,17.1,36.6,...,...
Ecuador,2010,Sector,Services,Retail,Average,45.1,...,28.4,46.7,...,...
Ecuador,2010,Sector,Services,Other Services,Average,22.8,...,16.0,35.7,...,...
Ecuador,2010,Size,,Medium (20-99),Average,17.1,...,17.3,32.3,25.5,46.8
Ecuador,2010,Size,,Small (5-19),Average,28.5,...,18.7,38.0,15.4,63.7
Ecuador,2010,Size,,Large (100+),Average,15.0,...,4.1,28.4,17.5,43.3
Ecuador,2010,Location,,Azuay,Average,29.0,...,23.4,42.5,20.0,60.8
Ecuador,2010,Location,,Guayas,Average,9.8,...,8.2,26.6,20.3,43.9
Ecuador,2010,Location,,Pichincha,Average,31.6,...,17.3,35.4,17.0,58.9
Ecuador,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,11.3,...,20.0,47.2,37.7,47.0
Ecuador,2010,Exporter Type,,Non-exporter,Average,24.7,...,16.9,35.1,16.8,56.2
Ecuador,2010,Gender of Top Manager,,Top manager is female,Average,69.8,...,100.0,49.9,11.4,61.8
Ecuador,2010,Gender of Top Manager,,Top manager is male,Average,14.9,...,0.0,32.6,21.1,53.6
Ecuador,2010,Ownership Type,,Domestic,Average,26.3,...,16.8,35.3,19.0,55.5
Ecuador,2010,Ownership Type,,10% or more foreign ownership,Average,7.9,...,18.3,37.8,20.6,53.2
"Egypt, Arab Rep.",2013,,,,Average,16.1,3.9,7.1,11.8,10.0,11.2
"Egypt, Arab Rep.",2013,Sector,Manufacturing,All,Average,16.7,4.0,6.5,10.3,10.0,11.2
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Food,Average,16.6,3.7,4.4,13.3,11.5,14.1
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Textiles,Average,31.4,3.6,12.9,19.1,22.1,14.4
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Garments,Average,12.0,3.0,10.0,28.1,34.5,21.4
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Leather Products,Average,21.2,0.0,3.2,5.4,4.5,4.9
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Printing & Publishing,Average,28.5,11.6,7.5,11.0,5.7,13.2
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Chemicals & Chemical Products,Average,16.3,5.7,11.7,11.4,5.5,15.1
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Rubber & Plastics Products,Average,35.7,8.8,7.7,13.1,10.1,13.0
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Non-Metallic Mineral Products,Average,16.1,6.0,0.3,0.6,0.2,2.6
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Fabricated Metal Products,Average,19.0,11.3,11.4,2.0,1.2,6.6
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Furniture,Average,15.1,4.3,7.4,6.3,6.2,13.4
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Wood Products,Average,17.6,4.9,5.0,0.2,0.1,1.2
"Egypt, Arab Rep.",2013,Sector,Manufacturing,Other Manufacturing,Average,7.1,0.9,4.4,5.0,2.3,4.8
"Egypt, Arab Rep.",2013,Sector,Services,All,Average,15.3,3.9,7.8,14.0,...,...
"Egypt, Arab Rep.",2013,Sector,Services,Construction,Average,28.6,7.9,0.1,18.7,...,...
"Egypt, Arab Rep.",2013,Sector,Services,Services of Motor Vehicles,Average,9.6,0.0,0.0,24.5,...,...
"Egypt, Arab Rep.",2013,Sector,Services,Wholesale,Average,3.1,0.1,3.1,6.4,...,...
"Egypt, Arab Rep.",2013,Sector,Services,Retail,Average,18.7,4.4,12.3,17.6,...,...
"Egypt, Arab Rep.",2013,Sector,Services,Hotels & Restaurants,Average,18.7,8.1,8.4,4.1,...,...
"Egypt, Arab Rep.",2013,Sector,Services,"Transport, Storage, & Communications",Average,12.5,0.5,8.0,22.0,...,...
"Egypt, Arab Rep.",2013,Sector,Services,IT & IT Services,Average,n.a.,n.a.,n.a.,n.a.,...,...
"Egypt, Arab Rep.",2013,Size,,Small (5-19),Average,13.9,4.5,7.8,11.2,6.4,9.8
"Egypt, Arab Rep.",2013,Size,,Medium (20-99),Average,17.2,3.0,4.9,12.6,13.8,11.9
"Egypt, Arab Rep.",2013,Size,,Large (100+),Average,31.6,2.4,10.2,14.4,15.5,17.3
"Egypt, Arab Rep.",2013,Location,,Alexandria,Average,27.1,0.4,9.3,18.6,17.7,9.5
"Egypt, Arab Rep.",2013,Location,,Cairo,Average,13.8,3.5,5.4,16.4,14.3,13.1
"Egypt, Arab Rep.",2013,Location,,Dakahliya,Average,30.3,9.5,12.7,1.5,1.7,1.6
"Egypt, Arab Rep.",2013,Location,,Damietta,Average,14.3,2.0,4.2,6.7,6.5,17.9
"Egypt, Arab Rep.",2013,Location,,Gharbiya,Average,25.0,0.6,6.2,9.5,11.2,9.3
"Egypt, Arab Rep.",2013,Location,,Giza,Average,10.7,6.0,11.6,11.9,10.6,25.3
"Egypt, Arab Rep.",2013,Location,,Kafr-El-Sheikh\Menoufiya\Beheira,Average,19.5,5.8,5.4,3.7,4.4,2.0
"Egypt, Arab Rep.",2013,Location,,Port Said\Suez\Ismalia,Average,17.1,0.3,3.2,16.0,14.0,10.5
"Egypt, Arab Rep.",2013,Location,,Qualyubia,Average,16.9,6.7,4.8,7.3,9.4,8.9
"Egypt, Arab Rep.",2013,Location,,Red Sea\Matrouh\Wadi Al Jadid\Sinai,Average,1.1,0.1,0.0,6.5,21.2,15.7
"Egypt, Arab Rep.",2013,Location,,Sharqia,Average,12.3,4.4,1.8,4.3,5.9,3.3
"Egypt, Arab Rep.",2013,Location,,Upper Egypt,Average,24.8,2.9,5.5,7.3,8.3,1.9
"Egypt, Arab Rep.",2013,Exporter Type,,Direct exports are 10% or more of sales,Average,16.9,2.7,3.6,14.8,12.9,14.9
"Egypt, Arab Rep.",2013,Exporter Type,,Non-exporter,Average,15.3,3.6,7.4,11.5,9.8,10.8
"Egypt, Arab Rep.",2013,Gender of Top Manager,,Top manager is female,Average,60.3,38.6,100.0,24.1,26.0,19.9
"Egypt, Arab Rep.",2013,Gender of Top Manager,,Top manager is male,Average,12.7,1.3,0.0,10.8,9.0,10.5
"Egypt, Arab Rep.",2013,Ownership Type,,Domestic,Average,15.2,3.9,7.3,11.2,9.3,10.3
"Egypt, Arab Rep.",2013,Ownership Type,,10% or more foreign ownership,Average,22.2,0.1,4.8,19.2,19.7,23.3
"Egypt, Arab Rep.",2016,,,,Average,17.8,2.4,4.9,13.4,9.5,9.5
"Egypt, Arab Rep.",2016,Sector,Manufacturing,All,Average,14.8,1.9,3.7,9.0,9.5,9.5
"Egypt, Arab Rep.",2016,Sector,Manufacturing,Food,Average,12.9,3.4,5.3,10.6,11.6,10.2
"Egypt, Arab Rep.",2016,Sector,Manufacturing,Textiles & Garments,Average,14.3,0.1,2.4,21.5,26.0,14.6
"Egypt, Arab Rep.",2016,Sector,Manufacturing,Leather Products,Average,39.0,0.1,0.4,1.2,1.0,2.1
"Egypt, Arab Rep.",2016,Sector,Manufacturing,Chemicals & Chemical Products,Average,15.9,0.7,5.8,14.0,13.4,14.9
"Egypt, Arab Rep.",2016,Sector,Manufacturing,Non-Metallic Mineral Products,Average,18.6,1.7,5.3,1.0,0.3,5.7
"Egypt, Arab Rep.",2016,Sector,Manufacturing,Basic Metals & Metal Products,Average,14.3,0.6,0.8,2.2,1.1,5.2
"Egypt, Arab Rep.",2016,Sector,Manufacturing,"Machinery & Equipment, Electronics & Vehicles",Average,20.1,0.6,0.8,5.8,3.5,13.3
"Egypt, Arab Rep.",2016,Sector,Manufacturing,"Petroleum products, Plastics & Rubber",Average,24.4,0.7,4.1,6.0,4.9,8.5
"Egypt, Arab Rep.",2016,Sector,Manufacturing,"Wood products, Furniture, Paper & Publishing",Average,8.6,1.5,1.6,2.2,1.0,6.3
"Egypt, Arab Rep.",2016,Sector,Services,All,Average,20.0,2.7,5.8,16.7,...,...
"Egypt, Arab Rep.",2016,Sector,Services,Construction,Average,41.2,0.0,0.4,13.6,...,...
"Egypt, Arab Rep.",2016,Sector,Services,Services of Motor Vehicles/Wholesale/Retail,Average,15.7,2.6,5.3,16.0,...,...
"Egypt, Arab Rep.",2016,Sector,Services,Hospitality & Tourism,Average,17.7,3.2,7.4,10.3,...,...
"Egypt, Arab Rep.",2016,Sector,Services,"Transport, Storage, & Communications",Average,34.1,3.0,6.9,26.0,...,...
"Egypt, Arab Rep.",2016,Sector,Services,IT & IT Services,Average,19.4,1.2,7.3,24.7,...,...
"Egypt, Arab Rep.",2016,Size,,Small (5-19),Average,14.1,2.7,5.1,12.0,7.0,4.7
"Egypt, Arab Rep.",2016,Size,,Medium (20-99),Average,24.2,2.3,5.0,16.2,13.4,14.6
"Egypt, Arab Rep.",2016,Size,,Large (100+),Average,26.7,0.1,2.4,15.0,14.1,22.4
"Egypt, Arab Rep.",2016,Location,,Frontier,Average,12.2,4.3,11.6,9.3,17.1,8.8
"Egypt, Arab Rep.",2016,Location,,Greater Cairo,Average,21.6,1.1,4.9,14.2,8.7,9.3
"Egypt, Arab Rep.",2016,Location,,Middle And East Delta,Average,9.1,0.1,1.4,11.2,6.7,9.2
"Egypt, Arab Rep.",2016,Location,,Northern Upper Egypt,Average,14.7,7.6,6.5,12.1,13.2,13.8
"Egypt, Arab Rep.",2016,Location,,Southern Upper Egypt,Average,17.1,7.2,12.6,11.4,13.3,1.4
"Egypt, Arab Rep.",2016,Location,,Suez Region,Average,26.8,8.4,3.1,21.1,20.7,8.4
"Egypt, Arab Rep.",2016,Location,,West Delta,Average,19.3,1.0,5.9,13.9,8.5,9.2
"Egypt, Arab Rep.",2016,Exporter Type,,Direct exports are 10% or more of sales,Average,28.5,2.3,1.1,16.6,10.8,19.0
"Egypt, Arab Rep.",2016,Exporter Type,,Non-exporter,Average,16.8,2.4,5.2,13.1,9.4,8.6
"Egypt, Arab Rep.",2016,Gender of Top Manager,,Top manager is female,Average,57.6,22.5,100.0,33.5,30.6,16.9
"Egypt, Arab Rep.",2016,Gender of Top Manager,,Top manager is male,Average,15.9,1.3,0.0,12.3,8.8,8.9
"Egypt, Arab Rep.",2016,Ownership Type,,Domestic,Average,17.3,2.0,4.7,13.2,8.6,8.9
"Egypt, Arab Rep.",2016,Ownership Type,,10% or more foreign ownership,Average,27.8,9.0,8.8,17.0,28.1,21.1
Eritrea,2009,,,,Average,4.2,3.1,7.6,40.4,...,...
Eritrea,2009,Sector,Manufacturing,All,Average,9.4,5.1,10.8,41.7,...,...
Eritrea,2009,Sector,Manufacturing,Manufacturing,Average,9.4,5.1,10.8,41.7,...,...
Eritrea,2009,Sector,Services,All,Average,0.0,1.4,5.4,39.5,...,...
Eritrea,2009,Sector,Services,Services,Average,0.0,1.4,5.4,39.5,...,...
Eritrea,2009,Size,,Small (5-19),Average,4.0,3.7,9.7,39.5,...,...
Eritrea,2009,Size,,Medium (20-99),Average,5.4,1.2,1.6,43.8,...,...
Eritrea,2009,Size,,Large (100+),Average,n.a.,0.0,0.0,33.0,...,...
Eritrea,2009,Location,,Debub,Average,19.2,13.6,8.4,55.8,...,...
Eritrea,2009,Location,,Maekel,Average,3.6,2.3,7.8,39.7,...,...
Eritrea,2009,Location,,Northern Red Sea,Average,n.a.,0.0,0.0,33.9,...,...
Eritrea,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,n.a.,0.0,14.4,37.8,...,...
Eritrea,2009,Exporter Type,,Non-exporter,Average,4.3,3.3,7.3,40.6,...,...
Eritrea,2009,Gender of Top Manager,,Top manager is female,Average,30.6,22.3,100.0,41.5,...,...
Eritrea,2009,Gender of Top Manager,,Top manager is male,Average,2.3,1.5,0.0,40.3,...,...
Eritrea,2009,Ownership Type,,Domestic,Average,4.4,3.2,7.9,40.6,...,...
Eritrea,2009,Ownership Type,,10% or more foreign ownership,Average,n.a.,n.a.,0.0,35.5,...,...
Estonia,2009,,,,Average,36.3,...,25.8,44.2,45.7,53.5
Estonia,2009,Sector,Manufacturing,All,Average,38.6,...,30.3,53.0,45.7,53.5
Estonia,2009,Sector,Manufacturing,Manufacturing,Average,38.6,...,30.3,53.0,45.7,53.5
Estonia,2009,Sector,Services,All,Average,35.4,...,24.0,40.6,...,...
Estonia,2009,Sector,Services,Retail,Average,44.5,...,27.9,51.2,...,...
Estonia,2009,Sector,Services,Other Services,Average,31.6,...,22.4,36.0,...,...
Estonia,2009,Size,,Small (5-19),Average,36.1,...,29.3,44.7,43.7,55.5
Estonia,2009,Size,,Medium (20-99),Average,36.8,...,18.7,40.8,46.8,52.5
Estonia,2009,Size,,Large (100+),Average,35.7,...,14.0,54.3,52.3,48.1
Estonia,2009,Location,,Central,Average,28.5,...,22.0,46.8,60.7,57.7
Estonia,2009,Location,,East,Average,54.8,...,39.1,52.6,56.4,49.3
Estonia,2009,Location,,North,Average,34.5,...,26.8,41.0,43.1,52.8
Estonia,2009,Location,,South,Average,38.4,...,27.5,45.6,35.3,59.8
Estonia,2009,Location,,West,Average,37.1,...,14.2,45.4,56.5,41.4
Estonia,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,27.6,...,18.5,55.5,55.7,55.4
Estonia,2009,Exporter Type,,Non-exporter,Average,37.8,...,27.2,41.4,36.6,51.9
Estonia,2009,Gender of Top Manager,,Top manager is female,Average,76.1,...,100.0,80.6,68.2,59.8
Estonia,2009,Gender of Top Manager,,Top manager is male,Average,21.8,...,0.0,31.8,36.7,51.2
Estonia,2009,Ownership Type,,Domestic,Average,34.9,...,26.6,44.4,47.2,57.2
Estonia,2009,Ownership Type,,10% or more foreign ownership,Average,50.4,...,18.9,42.3,39.0,33.4
Estonia,2013,,,,Average,35.8,13.6,25.3,35.1,33.5,39.3
Estonia,2013,Sector,Manufacturing,All,Average,35.9,15.8,28.6,33.7,33.5,39.3
Estonia,2013,Sector,Manufacturing,Manufacturing,Average,35.9,15.8,28.6,33.7,33.5,39.3
Estonia,2013,Sector,Services,All,Average,35.8,12.9,24.0,35.6,...,...
Estonia,2013,Sector,Services,Retail,Average,44.6,20.0,31.0,48.1,...,...
Estonia,2013,Sector,Services,Other Services,Average,35.0,12.3,23.4,34.6,...,...
Estonia,2013,Size,,Small (5-19),Average,38.6,15.6,25.6,33.5,28.1,36.9
Estonia,2013,Size,,Medium (20-99),Average,31.0,9.8,26.7,40.2,44.5,44.4
Estonia,2013,Size,,Large (100+),Average,15.9,2.6,15.1,34.4,48.9,43.8
Estonia,2013,Location,,Kesk-Eesti,Average,31.0,12.7,18.4,21.9,30.0,11.8
Estonia,2013,Location,,Kirde-Eesti,Average,57.6,27.2,31.7,35.7,17.1,n.a.
Estonia,2013,Location,,LääNe-Eesti,Average,46.9,11.5,39.6,32.1,18.3,41.7
Estonia,2013,Location,,LõUna-Eesti,Average,32.7,15.8,27.2,34.9,45.9,37.5
Estonia,2013,Location,,PõHja-Eesti,Average,32.9,11.6,22.3,37.6,34.7,45.2
Estonia,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,30.7,3.7,9.4,25.6,34.1,39.6
Estonia,2013,Exporter Type,,Non-exporter,Average,37.8,17.4,31.9,38.6,32.8,38.9
Estonia,2013,Gender of Top Manager,,Top manager is female,Average,70.9,48.0,100.0,65.4,60.8,51.6
Estonia,2013,Gender of Top Manager,,Top manager is male,Average,23.9,0.5,0.0,25.5,23.3,33.9
Estonia,2013,Ownership Type,,Domestic,Average,35.3,14.2,26.3,34.8,30.8,37.0
Estonia,2013,Ownership Type,,10% or more foreign ownership,Average,42.3,9.1,21.5,37.9,42.1,44.1
Ethiopia,2011,,,,Average,35.3,7.2,13.6,33.9,32.6,40.1
Ethiopia,2011,Sector,Manufacturing,All,Average,39.9,9.2,12.6,35.8,32.6,40.1
Ethiopia,2011,Sector,Manufacturing,Manufacturing,Average,39.9,9.2,12.6,35.8,32.6,40.1
Ethiopia,2011,Sector,Services,All,Average,34.5,6.8,13.7,33.6,...,...
Ethiopia,2011,Sector,Services,Services,Average,34.5,6.8,13.7,33.6,...,...
Ethiopia,2011,Size,,Small (5-19),Average,31.2,10.9,15.6,35.1,24.1,42.3
Ethiopia,2011,Size,,Medium (20-99),Average,33.9,3.6,13.1,33.0,31.7,39.3
Ethiopia,2011,Size,,Large (100+),Average,53.3,2.9,7.3,31.5,42.1,38.3
Ethiopia,2011,Location,,Addis Ababa,Average,34.1,7.0,13.8,34.0,33.9,41.6
Ethiopia,2011,Location,,Amhara,Average,33.2,0.6,1.1,21.0,24.1,35.0
Ethiopia,2011,Location,,Oromya,Average,47.1,11.1,18.3,37.3,33.9,39.5
Ethiopia,2011,Location,,Snnp,Average,60.3,13.9,19.5,39.3,n.a.,n.a.
Ethiopia,2011,Location,,Tigray,Average,23.5,8.2,8.4,37.0,21.1,33.4
Ethiopia,2011,Exporter Type,,Direct exports are 10% or more of sales,Average,52.2,1.3,17.9,32.5,37.4,39.0
Ethiopia,2011,Exporter Type,,Non-exporter,Average,34.8,7.5,13.4,33.9,32.0,40.3
Ethiopia,2011,Gender of Top Manager,,Top manager is female,Average,65.4,35.0,100.0,46.0,43.5,41.6
Ethiopia,2011,Gender of Top Manager,,Top manager is male,Average,30.5,2.8,0.0,32.0,31.3,40.0
Ethiopia,2011,Ownership Type,,Domestic,Average,33.7,7.4,14.7,34.5,32.6,41.6
Ethiopia,2011,Ownership Type,,10% or more foreign ownership,Average,49.9,8.9,0.0,39.0,48.1,43.8
Ethiopia,2015,,,,Average,36.2,16.5,4.5,27.8,27.6,33.9
Ethiopia,2015,Sector,Manufacturing,All,Average,31.1,5.3,6.4,29.4,27.6,33.9
Ethiopia,2015,Sector,Manufacturing,Food,Average,17.9,2.2,5.0,23.2,25.5,21.6
Ethiopia,2015,Sector,Manufacturing,Textiles & Garments,Average,55.6,22.6,15.8,47.8,49.6,44.1
Ethiopia,2015,Sector,Manufacturing,Non-Metallic Mineral Products,Average,23.8,4.0,9.3,30.1,10.9,48.7
Ethiopia,2015,Sector,Manufacturing,Other Manufacturing,Average,46.7,7.6,6.5,35.2,31.3,46.4
Ethiopia,2015,Sector,Services,All,Average,37.0,18.3,4.2,27.4,...,...
Ethiopia,2015,Sector,Services,Retail,Average,20.4,8.0,7.1,31.6,...,...
Ethiopia,2015,Sector,Services,Other Services,Average,41.2,19.7,3.3,27.1,...,...
Ethiopia,2015,Sector,Services,Transport,Average,30.9,18.5,6.0,26.2,...,...
Ethiopia,2015,Size,,Small (5-19),Average,32.8,22.6,4.1,30.4,29.9,29.9
Ethiopia,2015,Size,,Medium (20-99),Average,40.7,6.8,5.3,23.2,24.0,35.3
Ethiopia,2015,Size,,Large (100+),Average,44.6,6.9,4.9,23.6,30.5,37.1
Ethiopia,2015,Location,,Addisababa,Average,39.5,18.0,4.4,28.9,32.9,44.7
Ethiopia,2015,Location,,Amhara,Average,10.2,5.2,0.8,13.3,15.5,16.3
Ethiopia,2015,Location,,Dredawa,Average,38.5,7.7,18.5,21.2,24.8,27.4
Ethiopia,2015,Location,,Oromia,Average,28.6,10.7,5.6,27.0,27.8,38.1
Ethiopia,2015,Location,,Snnpr,Average,8.9,3.6,0.4,19.9,22.9,17.1
Ethiopia,2015,Location,,Tigray,Average,32.1,19.2,18.0,27.2,21.1,44.2
Ethiopia,2015,Exporter Type,,Direct exports are 10% or more of sales,Average,30.3,4.6,12.1,25.5,42.6,26.2
Ethiopia,2015,Exporter Type,,Non-exporter,Average,36.9,17.7,4.0,27.9,26.9,34.3
Ethiopia,2015,Gender of Top Manager,,Top manager is female,Average,86.8,64.3,100.0,34.2,46.0,53.4
Ethiopia,2015,Gender of Top Manager,,Top manager is male,Average,33.8,14.2,0.0,27.5,26.3,32.5
Ethiopia,2015,Ownership Type,,Domestic,Average,36.8,17.4,4.3,27.3,28.7,32.2
Ethiopia,2015,Ownership Type,,10% or more foreign ownership,Average,25.3,3.9,7.7,34.0,22.5,43.6
Fiji,2009,,,,Average,49.1,...,...,37.3,...,...
Fiji,2009,Sector,Manufacturing,All,Average,55.4,...,...,40.8,...,...
Fiji,2009,Sector,Manufacturing,Manufacturing,Average,55.4,...,...,40.8,...,...
Fiji,2009,Sector,Services,All,Average,47.7,...,...,36.5,...,...
Fiji,2009,Sector,Services,Services,Average,47.7,...,...,36.5,...,...
Fiji,2009,Size,,Small (5-19),Average,48.3,...,...,40.8,...,...
Fiji,2009,Size,,Medium (20-99),Average,46.3,...,...,29.1,...,...
Fiji,2009,Size,,Large (100+),Average,66.2,...,...,41.4,...,...
Fiji,2009,Location,,Fiji,Average,49.1,...,...,37.3,...,...
Fiji,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,32.0,...,...,44.0,...,...
Fiji,2009,Exporter Type,,Non-exporter,Average,50.7,...,...,36.0,...,...
Fiji,2009,Ownership Type,,Domestic,Average,47.4,...,...,36.1,...,...
Fiji,2009,Ownership Type,,10% or more foreign ownership,Average,54.0,...,...,42.9,...,...
"Micronesia, Fed. Sts.",2009,,,,Average,86.8,...,...,37.3,...,...
"Micronesia, Fed. Sts.",2009,Sector,Manufacturing,All,Average,68.3,...,...,20.1,...,...
"Micronesia, Fed. Sts.",2009,Sector,Manufacturing,Manufacturing,Average,68.3,...,...,20.1,...,...
"Micronesia, Fed. Sts.",2009,Sector,Services,All,Average,89.4,...,...,39.7,...,...
"Micronesia, Fed. Sts.",2009,Sector,Services,Services,Average,89.4,...,...,39.7,...,...
"Micronesia, Fed. Sts.",2009,Size,,Small (5-19),Average,79.5,...,...,34.3,...,...
"Micronesia, Fed. Sts.",2009,Size,,Medium (20-99),Average,100.0,...,...,42.6,...,...
"Micronesia, Fed. Sts.",2009,Location,,Pohnpei,Average,86.8,...,...,37.3,...,...
"Micronesia, Fed. Sts.",2009,Exporter Type,,Direct exports are 10% or more of sales,Average,100.0,...,...,52.7,...,...
"Micronesia, Fed. Sts.",2009,Exporter Type,,Non-exporter,Average,85.4,...,...,35.8,...,...
"Micronesia, Fed. Sts.",2009,Ownership Type,,Domestic,Average,90.4,...,...,39.6,...,...
"Micronesia, Fed. Sts.",2009,Ownership Type,,10% or more foreign ownership,Average,74.3,...,...,30.5,...,...
Gabon,2009,,,,Average,33.1,9.4,11.5,24.3,...,...
Gabon,2009,Sector,Manufacturing,All,Average,57.5,15.2,26.8,16.3,...,...
Gabon,2009,Sector,Manufacturing,Manufacturing,Average,57.5,15.2,26.8,16.3,...,...
Gabon,2009,Sector,Services,All,Average,24.9,7.1,6.0,27.1,...,...
Gabon,2009,Sector,Services,Services,Average,24.9,7.1,6.0,27.1,...,...
Gabon,2009,Size,,Small (5-19),Average,42.1,12.5,19.5,27.0,...,...
Gabon,2009,Size,,Medium (20-99),Average,8.9,2.4,5.1,18.8,...,...
Gabon,2009,Size,,Large (100+),Average,n.a.,0.0,0.0,17.5,...,...
Gabon,2009,Location,,Libreville,Average,31.7,7.7,10.2,24.7,...,...
Gabon,2009,Location,,Owendo,Average,32.3,14.4,12.2,22.0,...,...
Gabon,2009,Location,,Port-Gentil,Average,36.2,14.0,16.4,23.4,...,...
Gabon,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,0.0,0.0,0.0,18.0,...,...
Gabon,2009,Exporter Type,,Non-exporter,Average,29.8,7.4,11.2,24.6,...,...
Gabon,2009,Gender of Top Manager,,Top manager is female,Average,n.a.,49.6,100.0,28.0,...,...
