Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Senior management time spent dealing with the requirements of government regulation (%),Number of visits or required meetings with tax officials,Percent of firms visited or required to meet with tax officials,"If there were visits, average number of visits or required meetings with tax officials",Days to obtain an operating license,Days to obtain a construction-related permit,Days to obtain an import license,Percent of firms identifying tax rates as a major constraint,Percent of firms identifying tax administration as a major constraint,Percent of firms identifying business licensing and permits as a major constraint
Bolivia,2010,Location,,La Paz,Average,24.2,...,46.9,3.1,33.6,252.0,31.1,5.4,5.3,11.1
Bolivia,2010,Location,,Santa Cruz,Average,31.5,...,69.4,3.3,42.0,67.7,57.9,9.9,9.6,8.1
Bolivia,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,13.7,...,64.0,2.1,36.1,147.9,19.6,41.6,43.8,8.6
Bolivia,2010,Exporter Type,,Non-exporter,Average,29.8,...,51.2,3.2,37.5,200.8,38.5,9.7,6.0,13.3
Bolivia,2010,Gender of Top Manager,,Top manager is female,Average,35.9,...,43.0,2.9,23.8,99.5,14.9,16.1,5.3,3.7
Bolivia,2010,Gender of Top Manager,,Top manager is male,Average,26.5,...,55.1,3.1,40.5,210.0,39.4,11.1,10.0,15.6
Bolivia,2010,Ownership Type,,Domestic,Average,30.6,...,50.2,2.6,41.7,195.5,37.6,13.4,9.3,13.7
Bolivia,2010,Ownership Type,,10% or more foreign ownership,Average,12.3,...,69.6,5.9,16.1,100.2,38.0,2.3,5.8,7.8
Bolivia,2017,,,,Average,15.1,...,52.8,4.3,26.6,67.8,29.0,41.4,40.1,31.0
Bolivia,2017,Sector,Manufacturing,All,Average,16.4,...,60.9,4.9,26.8,69.1,22.7,35.3,38.9,36.3
Bolivia,2017,Sector,Manufacturing,Manufacturing,Average,16.4,...,60.9,4.9,26.8,69.1,22.7,35.3,38.9,36.3
Bolivia,2017,Sector,Services,All,Average,14.7,...,49.9,4.1,26.5,67.7,32.2,43.6,40.5,29.1
Bolivia,2017,Sector,Services,Retail,Average,9.8,...,47.5,5.0,22.7,76.9,51.4,38.9,32.0,27.3
Bolivia,2017,Sector,Services,Other Services,Average,16.0,...,50.6,3.8,27.1,66.6,28.6,45.0,43.0,29.6
Bolivia,2017,Size,,Small (5-19),Average,14.4,...,52.3,3.9,26.3,40.3,21.7,41.5,41.4,32.5
Bolivia,2017,Size,,Medium (20-99),Average,14.9,...,52.8,5.9,25.1,86.6,35.0,41.2,38.3,23.8
Bolivia,2017,Size,,Large (100+),Average,25.5,...,60.4,4.3,33.1,123.2,41.3,41.3,28.2,36.8
Bolivia,2017,Location,,Cochabamba,Average,21.3,...,43.2,3.7,19.7,80.3,15.0,38.4,42.5,27.0
Bolivia,2017,Location,,La Paz,Average,16.0,...,67.2,4.9,33.0,28.0,37.2,34.9,36.8,28.5
Bolivia,2017,Location,,Santa Cruz,Average,11.5,...,46.2,3.9,22.8,89.1,30.0,48.9,41.5,35.6
Bolivia,2017,Exporter Type,,Direct exports are 10% or more of sales,Average,24.3,...,90.2,3.2,38.8,n.a.,11.4,21.1,80.7,71.4
Bolivia,2017,Exporter Type,,Non-exporter,Average,14.6,...,50.9,4.5,23.0,67.7,30.9,44.0,37.7,28.4
Bolivia,2017,Gender of Top Manager,,Top manager is female,Average,18.4,...,54.0,4.2,42.4,43.4,57.3,23.0,48.2,47.8
Bolivia,2017,Gender of Top Manager,,Top manager is male,Average,13.9,...,52.4,4.4,21.3,69.7,27.4,47.9,37.2,25.0
Bolivia,2017,Ownership Type,,Domestic,Average,14.3,...,51.7,4.4,21.5,67.0,29.8,43.6,37.0,28.4
Bolivia,2017,Ownership Type,,10% or more foreign ownership,Average,22.0,...,62.2,3.6,41.3,103.3,18.9,22.9,66.9,53.8
Brazil,2009,,,,Average,14.2,...,39.0,1.8,79.7,73.2,62.6,81.5,71.4,48.4
Brazil,2009,Sector,Manufacturing,All,Average,18.3,...,35.8,2.2,68.4,75.3,72.7,76.2,68.8,45.8
Brazil,2009,Sector,Manufacturing,Food,Average,20.7,...,26.6,1.9,61.9,105.2,21.2,71.0,65.2,60.0
Brazil,2009,Sector,Manufacturing,Textiles,Average,11.1,...,13.3,2.6,105.1,23.8,28.7,90.2,84.4,74.7
Brazil,2009,Sector,Manufacturing,Garments,Average,12.0,...,29.9,2.1,67.6,61.4,17.3,79.8,75.4,50.7
Brazil,2009,Sector,Manufacturing,Leather Products,Average,14.8,...,43.9,1.9,33.2,27.3,22.4,86.3,75.2,41.1
Brazil,2009,Sector,Manufacturing,Chemicals & Chemical Products,Average,23.5,...,42.3,2.3,68.9,56.7,32.6,90.5,47.7,40.5
Brazil,2009,Sector,Manufacturing,Machinery & Equipment,Average,25.8,...,68.7,3.0,125.4,134.0,71.5,78.3,70.5,49.3
Brazil,2009,Sector,Manufacturing,Motor Vehicles,Average,19.5,...,55.4,1.5,93.3,92.1,32.8,94.8,90.8,31.9
Brazil,2009,Sector,Manufacturing,Furniture,Average,12.6,...,32.6,2.1,103.7,75.6,32.4,81.8,81.4,49.6
Brazil,2009,Sector,Manufacturing,Other Manufacturing,Average,18.4,...,37.2,2.0,51.6,123.3,93.3,70.8,64.8,32.9
Brazil,2009,Sector,Services,All,Average,11.3,...,41.2,1.6,89.5,69.8,45.3,85.1,73.3,50.2
Brazil,2009,Sector,Services,Retail,Average,12.8,...,39.1,1.8,48.0,45.9,41.7,91.0,78.7,39.6
Brazil,2009,Sector,Services,IT & IT Services,Average,11.2,...,59.9,1.2,195.0,163.2,39.5,88.0,82.4,72.8
Brazil,2009,Sector,Services,Other Services,Average,10.6,...,40.8,1.6,87.3,78.2,59.3,81.1,68.8,54.9
Brazil,2009,Size,,Medium (20-99),Average,17.5,...,41.6,2.0,104.9,55.6,56.5,90.2,86.7,66.9
Brazil,2009,Size,,Small (5-19),Average,12.1,...,35.3,1.6,73.3,87.8,81.2,78.0,65.9,41.5
Brazil,2009,Size,,Large (100+),Average,22.5,...,72.1,2.4,65.6,74.0,33.7,83.1,70.1,44.0
Brazil,2009,Location,,Amazonas,Average,15.5,...,52.0,1.7,52.3,140.0,36.4,84.0,76.5,53.3
Brazil,2009,Location,,Bahia,Average,18.9,...,55.1,3.2,122.3,79.5,81.1,95.2,90.5,33.3
Brazil,2009,Location,,Brasilia DF,Average,12.9,...,69.0,1.4,170.1,55.6,n.a.,76.7,58.7,51.3
Brazil,2009,Location,,Ceara,Average,15.3,...,60.3,2.2,42.8,22.4,122.7,80.3,72.3,41.4
Brazil,2009,Location,,Goias,Average,22.8,...,59.2,2.3,44.5,65.3,28.9,86.6,83.8,50.4
Brazil,2009,Location,,Maranhao,Average,n.a.,...,n.a.,...,...,...,...,n.a.,n.a.,n.a.
Brazil,2009,Location,,Mato Grosso,Average,28.0,...,40.1,2.6,39.4,32.2,n.a.,79.5,70.9,31.8
Brazil,2009,Location,,Minas Gerais,Average,12.9,...,46.6,2.3,160.0,60.2,44.0,82.6,72.8,68.6
Brazil,2009,Location,,Paraiba,Average,18.3,...,44.2,2.8,46.9,n.a.,...,87.3,85.6,62.9
Brazil,2009,Location,,Parana,Average,9.0,...,41.7,1.7,98.6,52.3,22.2,69.2,52.6,35.6
Brazil,2009,Location,,Pernambuco,Average,12.0,...,85.9,2.0,32.0,6.6,n.a.,99.4,98.2,87.3
Brazil,2009,Location,,Rio de Janeiro,Average,19.6,...,62.3,1.3,47.9,86.6,24.3,83.6,88.9,62.0
Brazil,2009,Location,,Rio Grande do Sul,Average,16.8,...,18.8,3.0,55.2,43.6,19.7,90.0,86.3,51.5
Brazil,2009,Location,,Santa Catarina,Average,13.1,...,38.6,1.4,100.1,113.4,69.4,64.6,53.2,36.3
Brazil,2009,Location,,Sao Paulo,Average,12.9,...,25.8,1.7,59.2,71.5,71.2,84.3,70.3,45.5
Brazil,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,16.0,...,26.6,3.0,66.8,71.5,40.0,94.1,92.2,35.4
Brazil,2009,Exporter Type,,Non-exporter,Average,14.1,...,39.5,1.8,80.4,73.2,72.6,81.0,70.6,48.9
Brazil,2009,Gender of Top Manager,,Top manager is female,Average,9.2,...,27.2,1.5,46.9,38.2,42.9,86.5,75.6,49.0
Brazil,2009,Gender of Top Manager,,Top manager is male,Average,15.4,...,41.8,1.9,86.9,84.4,69.6,80.4,70.5,48.3
Brazil,2009,Ownership Type,,Domestic,Average,11.5,...,37.4,1.8,77.6,59.1,78.9,83.5,69.9,50.1
Brazil,2009,Ownership Type,,10% or more foreign ownership,Average,14.7,...,95.8,2.2,159.4,229.1,26.5,62.2,61.8,57.3
Barbados,2010,,,,Average,4.3,...,32.3,1.5,49.3,106.0,28.1,23.9,13.0,1.1
Barbados,2010,Sector,Manufacturing,All,Average,5.3,...,23.7,1.9,21.8,n.a.,6.6,27.0,3.1,0.0
Barbados,2010,Sector,Manufacturing,Manufacturing,Average,5.3,...,23.7,1.9,21.8,n.a.,6.6,27.0,3.1,0.0
Barbados,2010,Sector,Services,All,Average,4.1,...,33.6,1.4,n.a.,107.6,42.7,23.4,14.6,1.3
Barbados,2010,Sector,Services,Services,Average,4.1,...,33.6,1.4,n.a.,107.6,42.7,23.4,14.6,1.3
Barbados,2010,Size,,Medium (20-99),Average,6.9,...,35.7,1.8,n.a.,n.a.,28.7,29.3,13.8,3.2
Barbados,2010,Size,,Small (5-19),Average,3.1,...,27.9,1.3,n.a.,n.a.,29.1,18.8,9.2,0.0
Barbados,2010,Size,,Large (100+),Average,5.7,...,55.2,1.5,78.5,n.a.,20.2,45.3,40.9,2.2
Barbados,2010,Location,,Entire Country,Average,4.3,...,32.3,1.5,49.3,106.0,28.1,23.9,13.0,1.1
Barbados,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,3.5,...,35.9,1.6,n.a.,n.a.,9.1,17.4,14.6,4.8
Barbados,2010,Exporter Type,,Non-exporter,Average,4.5,...,31.3,1.5,n.a.,107.7,34.6,25.6,12.6,0.0
Barbados,2010,Gender of Top Manager,,Top manager is female,Average,3.6,...,29.1,1.2,n.a.,n.a.,n.a.,18.3,10.8,0.8
Barbados,2010,Gender of Top Manager,,Top manager is male,Average,4.5,...,33.3,1.6,n.a.,101.1,30.7,25.9,13.8,1.2
Barbados,2010,Ownership Type,,Domestic,Average,3.9,...,31.5,1.5,43.0,106.0,27.4,22.7,11.7,1.2
Barbados,2010,Ownership Type,,10% or more foreign ownership,Average,7.1,...,37.7,1.8,n.a.,...,n.a.,35.1,23.3,0.0
Bhutan,2009,,,,Average,15.9,...,72.8,2.1,19.3,50.4,10.5,16.6,12.7,10.0
Bhutan,2009,Sector,Manufacturing,All,Average,14.2,...,68.4,1.7,38.0,43.5,10.1,15.8,7.9,6.3
Bhutan,2009,Sector,Manufacturing,Manufacturing,Average,14.2,...,68.4,1.7,38.0,43.5,10.1,15.8,7.9,6.3
Bhutan,2009,Sector,Services,All,Average,16.4,...,74.0,2.2,10.1,51.1,10.6,16.8,14.0,11.1
Bhutan,2009,Sector,Services,Services,Average,16.4,...,74.0,2.2,10.1,51.1,10.6,16.8,14.0,11.1
Bhutan,2009,Size,,Small (5-19),Average,14.4,...,72.6,2.2,18.6,70.1,9.1,15.7,14.0,9.7
Bhutan,2009,Size,,Medium (20-99),Average,20.6,...,72.4,1.6,22.3,21.4,14.0,21.2,10.5,10.4
Bhutan,2009,Size,,Large (100+),Average,17.8,...,75.3,2.1,11.9,45.1,8.0,11.2,6.1,12.4
Bhutan,2009,Location,,Gelephu/Sarpang,Average,13.2,...,39.1,1.4,n.a.,n.a.,n.a.,52.2,13.0,8.7
Bhutan,2009,Location,,Phuentsholing,Average,13.4,...,81.0,1.8,34.7,32.5,13.2,18.5,11.3,10.0
Bhutan,2009,Location,,Samdrup Jongkhar,Average,10.4,...,86.8,2.4,...,n.a.,n.a.,8.0,1.7,17.0
Bhutan,2009,Location,,Thimphu/Paro,Average,19.5,...,66.0,2.1,16.1,56.0,9.2,16.7,17.8,7.4
Bhutan,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,14.8,...,73.9,1.6,n.a.,n.a.,9.8,24.0,7.5,7.6
Bhutan,2009,Exporter Type,,Non-exporter,Average,16.0,...,72.7,2.1,16.9,50.9,10.6,16.0,13.1,10.2
Bhutan,2009,Ownership Type,,Domestic,Average,16.7,...,71.0,2.0,19.3,48.6,10.5,16.6,13.5,7.1
Bhutan,2009,Ownership Type,,10% or more foreign ownership,Average,4.9,...,100.0,2.6,...,n.a.,n.a.,15.2,0.0,67.0
Bhutan,2015,,,,Average,28.8,...,81.5,1.2,1.2,32.9,8.3,15.8,7.1,8.9
Bhutan,2015,Sector,Manufacturing,All,Average,22.0,...,72.0,1.3,1.2,49.4,6.0,11.6,8.6,8.9
Bhutan,2015,Sector,Manufacturing,Food,Average,9.4,...,100.0,1.6,1.0,n.a.,n.a.,11.7,0.0,5.9
Bhutan,2015,Sector,Manufacturing,Other Manufacturing,Average,23.3,...,69.1,1.3,1.2,50.2,5.9,11.5,9.5,9.2
Bhutan,2015,Sector,Services,All,Average,30.1,...,83.4,1.1,1.3,30.3,8.6,16.6,6.8,8.9
Bhutan,2015,Sector,Services,Hospitality & Tourism,Average,34.9,...,77.9,1.2,1.2,99.9,15.2,22.8,7.2,20.6
Bhutan,2015,Sector,Services,Other Services,Average,27.6,...,86.4,1.1,1.3,16.7,7.6,13.3,6.6,2.7
Bhutan,2015,Size,,Small (5-19),Average,26.2,...,81.8,1.1,1.2,30.3,8.8,11.8,5.7,9.2
Bhutan,2015,Size,,Medium (20-99),Average,35.8,...,86.3,1.2,1.5,37.1,6.8,25.5,11.0,9.6
Bhutan,2015,Size,,Large (100+),Average,29.9,...,49.8,1.0,1.2,19.5,9.9,24.7,8.5,0.0
Bhutan,2015,Location,,Gelephu/Sarpang,Average,2.6,...,92.9,1.4,1.1,n.a.,...,8.2,1.0,1.0
Bhutan,2015,Location,,Phuentsholing,Average,54.8,...,92.7,1.3,1.5,25.1,8.9,6.3,0.0,0.5
Bhutan,2015,Location,,Samdrup Jongkhar,Average,2.6,...,83.2,1.4,1.0,50.0,n.a.,7.0,7.3,29.0
Bhutan,2015,Location,,Thimphu/Paro,Average,29.3,...,76.2,1.0,1.3,33.4,8.2,21.1,10.2,9.7
Bhutan,2015,Exporter Type,,Direct exports are 10% or more of sales,Average,42.5,...,71.8,1.5,1.6,139.3,9.9,20.4,5.1,7.4
Bhutan,2015,Exporter Type,,Non-exporter,Average,28.2,...,81.9,1.1,1.2,22.1,8.2,15.6,7.3,8.9
Bhutan,2015,Gender of Top Manager,,Top manager is female,Average,41.2,...,94.3,1.1,1.2,36.9,7.0,4.7,4.8,16.9
Bhutan,2015,Gender of Top Manager,,Top manager is male,Average,24.3,...,77.0,1.2,1.3,31.7,8.4,19.7,7.9,6.1
Bhutan,2015,Ownership Type,,Domestic,Average,27.9,...,81.0,1.2,1.2,30.4,8.1,15.7,7.4,9.2
Bhutan,2015,Ownership Type,,10% or more foreign ownership,Average,53.1,...,96.2,1.1,2.4,n.a.,n.a.,15.3,0.0,0.0
Botswana,2006,,,,Average,5.0,...,56.8,1.7,13.7,77.1,24.5,24.6,10.0,18.4
Botswana,2006,Sector,Manufacturing,All,Average,5.3,...,49.4,1.9,20.1,109.9,21.8,11.3,5.8,22.5
Botswana,2006,Sector,Manufacturing,Food,Average,6.3,...,40.9,1.7,20.8,...,n.a.,6.8,13.6,27.3
Botswana,2006,Sector,Manufacturing,Garments,Average,4.8,...,37.4,1.8,6.8,n.a.,n.a.,9.8,4.9,0.0
Botswana,2006,Sector,Manufacturing,Other Manufacturing,Average,5.3,...,52.5,1.9,22.3,120.9,31.2,12.1,5.0,26.0
Botswana,2006,Sector,Services,All,Average,4.9,...,58.1,1.7,12.6,68.6,24.9,26.9,10.7,17.7
Botswana,2006,Sector,Services,Retail,Average,4.9,...,59.5,1.4,12.2,n.a.,18.7,29.4,11.3,17.2
Botswana,2006,Sector,Services,Other Services,Average,4.9,...,56.2,2.0,13.2,70.7,32.0,23.5,10.0,18.5
Botswana,2006,Size,,Small (5-19),Average,4.5,...,52.9,1.5,13.5,67.1,32.5,24.7,9.9,18.6
Botswana,2006,Size,,Medium (20-99),Average,5.9,...,63.9,1.9,16.4,95.9,13.1,29.7,11.7,19.4
Botswana,2006,Size,,Large (100+),Average,6.3,...,68.1,2.1,8.6,n.a.,13.8,10.4,6.2,14.9
Botswana,2006,Location,,Francistown,Average,5.1,...,54.4,1.5,10.1,n.a.,25.0,36.2,10.5,21.2
Botswana,2006,Location,,Gaborone,Average,4.9,...,57.4,1.8,14.5,74.6,24.4,21.9,9.9,17.8
Botswana,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,8.2,...,80.3,1.8,12.2,n.a.,28.5,13.1,0.0,17.3
Botswana,2006,Exporter Type,,Non-exporter,Average,4.8,...,55.8,1.7,13.8,64.1,24.2,25.1,10.4,18.5
Botswana,2006,Ownership Type,,Domestic,Average,4.5,...,51.3,1.8,13.3,67.1,25.5,26.2,11.4,16.1
Botswana,2006,Ownership Type,,10% or more foreign ownership,Average,5.5,...,63.3,1.6,14.4,92.7,23.8,23.0,8.6,21.2
Botswana,2010,,,,Average,10.2,...,40.7,2.5,27.2,125.5,11.6,16.9,17.6,29.3
Botswana,2010,Sector,Manufacturing,All,Average,7.8,...,36.7,2.2,29.0,56.3,9.0,17.1,21.6,27.6
Botswana,2010,Sector,Manufacturing,Manufacturing,Average,7.8,...,36.7,2.2,29.0,56.3,9.0,17.1,21.6,27.6
Botswana,2010,Sector,Services,All,Average,10.8,...,41.7,2.6,26.7,141.1,11.9,16.9,16.6,29.6
Botswana,2010,Sector,Services,Retail,Average,10.4,...,43.1,2.8,24.9,117.2,17.1,17.6,15.0,29.6
Botswana,2010,Sector,Services,Other Services,Average,11.1,...,40.5,2.5,28.6,154.3,4.5,16.4,18.0,29.7
Botswana,2010,Size,,Small (5-19),Average,9.6,...,41.6,2.3,25.9,168.2,9.2,21.9,21.5,30.2
Botswana,2010,Size,,Medium (20-99),Average,9.9,...,39.2,3.1,32.7,106.4,19.7,13.0,13.7,30.3
Botswana,2010,Size,,Large (100+),Average,13.6,...,40.0,2.7,21.8,77.6,8.4,3.7,9.3,22.6
Botswana,2010,Location,,Francistown,Average,10.6,...,63.9,2.7,17.5,n.a.,n.a.,11.4,13.0,31.0
Botswana,2010,Location,,Gaborone,Average,10.1,...,38.3,2.5,28.1,116.6,12.2,17.5,18.1,29.1
Botswana,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,8.1,...,6.0,n.a.,21.9,...,n.a.,0.0,5.8,39.2
Botswana,2010,Exporter Type,,Non-exporter,Average,10.3,...,42.0,2.5,27.3,125.5,12.4,17.5,18.0,28.9
Botswana,2010,Gender of Top Manager,,Top manager is female,Average,10.5,...,49.3,2.0,27.4,n.a.,12.5,34.0,26.4,33.6
Botswana,2010,Gender of Top Manager,,Top manager is male,Average,10.1,...,39.0,2.7,27.1,116.8,11.2,13.6,15.9,28.4
Botswana,2010,Ownership Type,,Domestic,Average,12.7,...,46.3,2.5,26.6,149.6,6.7,25.6,23.2,30.0
Botswana,2010,Ownership Type,,10% or more foreign ownership,Average,7.8,...,33.9,2.3,27.9,80.1,15.7,8.3,12.2,27.3
Central African Republic,2011,,,,Average,9.2,...,89.8,4.3,14.5,55.5,17.1,31.9,28.2,18.7
Central African Republic,2011,Sector,Manufacturing,All,Average,11.5,...,81.8,4.0,n.a.,n.a.,23.3,34.4,34.3,19.7
Central African Republic,2011,Sector,Manufacturing,Manufacturing,Average,11.5,...,81.8,4.0,n.a.,n.a.,23.3,34.4,34.3,19.7
Central African Republic,2011,Sector,Services,All,Average,8.5,...,91.9,4.4,13.7,n.a.,15.9,31.3,26.7,18.4
Central African Republic,2011,Sector,Services,Services,Average,8.5,...,91.9,4.4,13.7,n.a.,15.9,31.3,26.7,18.4
Central African Republic,2011,Size,,Small (5-19),Average,8.3,...,91.0,4.4,13.6,n.a.,17.7,33.2,27.1,21.5
Central African Republic,2011,Size,,Medium (20-99),Average,10.7,...,88.8,4.0,n.a.,n.a.,17.2,26.1,28.8,11.8
Central African Republic,2011,Size,,Large (100+),Average,10.9,...,81.6,5.3,n.a.,n.a.,n.a.,42.0,36.7,16.8
Central African Republic,2011,Location,,Bangui,Average,9.4,...,89.4,4.4,14.5,55.5,17.1,32.2,27.9,18.9
Central African Republic,2011,Location,,Berberati,Average,n.a.,...,100.0,2.8,...,...,...,25.0,37.5,12.5
Central African Republic,2011,Exporter Type,,Direct exports are 10% or more of sales,Average,7.6,...,93.7,2.9,n.a.,n.a.,n.a.,21.2,18.1,18.1
Central African Republic,2011,Exporter Type,,Non-exporter,Average,9.4,...,89.2,4.5,13.5,14.8,18.3,32.8,29.0,18.9
Central African Republic,2011,Gender of Top Manager,,Top manager is female,Average,6.5,...,93.7,4.8,n.a.,n.a.,n.a.,17.9,36.7,10.8
Central African Republic,2011,Gender of Top Manager,,Top manager is male,Average,9.5,...,89.2,4.3,14.0,60.8,17.1,33.9,27.0,19.7
Central African Republic,2011,Ownership Type,,Domestic,Average,9.0,...,92.6,4.3,n.a.,12.4,15.2,35.3,30.6,18.2
Central African Republic,2011,Ownership Type,,10% or more foreign ownership,Average,9.5,...,85.9,4.3,14.6,n.a.,19.4,27.3,24.9,19.4
Chile,2006,,,,Average,9.0,...,65.3,4.6,67.6,121.6,16.6,15.8,8.4,9.2
Chile,2006,Sector,Manufacturing,All,Average,6.7,...,50.5,4.6,79.5,97.4,19.9,18.0,5.9,5.5
Chile,2006,Sector,Manufacturing,Food,Average,8.8,...,80.4,6.1,69.8,67.9,13.6,27.3,13.5,8.1
Chile,2006,Sector,Manufacturing,Garments,Average,11.6,...,69.0,4.8,59.0,79.2,n.a.,34.7,6.6,8.9
Chile,2006,Sector,Manufacturing,Chemicals & Chemical Products,Average,7.9,...,64.1,4.0,32.4,61.7,16.1,19.1,7.1,15.8
Chile,2006,Sector,Manufacturing,Non-Metallic Mineral Products,Average,4.6,...,82.1,6.2,n.a.,131.8,n.a.,29.7,0.0,13.5
Chile,2006,Sector,Manufacturing,Manufacturing,Average,2.9,...,12.2,3.7,n.a.,n.a.,n.a.,0.7,0.0,0.0
Chile,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,6.9,...,66.8,3.6,102.0,133.1,24.9,27.3,8.1,7.0
Chile,2006,Sector,Services,All,Average,10.0,...,72.7,4.6,66.2,131.1,14.8,14.8,9.6,11.0
Chile,2006,Sector,Services,Retail,Average,7.1,...,76.3,4.4,162.7,165.8,14.9,15.8,16.1,9.1
Chile,2006,Sector,Services,IT & IT Services,Average,6.1,...,39.7,5.0,15.0,196.6,11.8,29.9,6.4,5.8
Chile,2006,Sector,Services,Services,Average,14.5,...,77.6,3.5,24.7,46.3,n.a.,6.7,2.6,15.6
Chile,2006,Sector,Services,Rest of Universe-Services,Average,7.9,...,72.1,7.7,19.9,57.8,n.a.,23.5,10.3,4.0
Chile,2006,Size,,Medium (20-99),Average,14.7,...,49.6,4.4,35.9,84.4,32.3,16.4,6.6,4.3
Chile,2006,Size,,Small (5-19),Average,7.6,...,64.0,4.1,133.6,187.8,5.8,20.3,13.0,13.8
Chile,2006,Size,,Large (100+),Average,4.2,...,85.8,5.5,39.8,116.0,16.7,6.1,1.4,5.4
Chile,2006,Location,,Antofagasta,Average,11.3,...,62.5,5.9,11.6,48.2,11.3,19.7,1.7,4.3
Chile,2006,Location,,Bío Bío,Average,10.2,...,69.8,5.6,14.4,56.4,12.1,34.1,6.7,1.8
Chile,2006,Location,,Los Lagos,Average,9.0,...,74.1,6.3,47.9,36.5,10.6,22.3,16.1,0.6
Chile,2006,Location,,Santiago,Average,8.2,...,62.1,4.1,77.2,201.7,20.3,10.0,7.5,10.7
Chile,2006,Location,,Valparaíso,Average,13.3,...,79.2,5.2,62.3,71.4,15.7,34.1,15.6,14.3
Chile,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,7.8,...,75.2,5.9,76.2,80.4,11.8,15.1,7.4,8.4
Chile,2006,Exporter Type,,Non-exporter,Average,9.1,...,64.8,4.5,67.5,124.7,17.1,15.8,8.5,9.2
Chile,2006,Ownership Type,,Domestic,Average,9.0,...,63.0,4.7,60.2,103.2,18.9,17.0,9.1,5.2
Chile,2006,Ownership Type,,10% or more foreign ownership,Average,9.2,...,93.2,3.4,182.1,249.0,8.7,2.8,0.8,50.1
Chile,2010,,,,Average,9.9,...,62.5,4.7,68.5,87.9,22.7,12.6,3.7,7.5
Chile,2010,Sector,Manufacturing,All,Average,12.3,...,69.7,5.6,74.4,126.4,25.3,15.8,6.0,11.6
Chile,2010,Sector,Manufacturing,Food,Average,10.2,...,88.1,8.5,66.9,182.0,40.4,17.3,5.9,11.8
Chile,2010,Sector,Manufacturing,Textiles & Garments,Average,10.1,...,50.4,4.5,48.1,152.4,6.2,15.0,11.0,12.2
Chile,2010,Sector,Manufacturing,"Chemicals, Plastics & Rubber",Average,9.1,...,70.6,3.9,94.0,126.7,17.1,8.8,5.5,15.0
Chile,2010,Sector,Manufacturing,Basic Metals/Fabricated Metals/Machinery & Equip.,Average,10.9,...,59.9,3.8,91.0,143.7,14.9,17.2,11.6,13.6
Chile,2010,Sector,Manufacturing,Other Manufacturing,Average,16.5,...,66.6,4.5,60.0,30.2,46.3,16.8,1.8,9.0
Chile,2010,Sector,Services,All,Average,8.9,...,59.8,4.3,67.6,72.5,22.4,11.4,2.9,5.9
Chile,2010,Sector,Services,Retail,Average,9.6,...,78.9,4.1,66.0,39.2,35.2,19.1,4.1,4.8
Chile,2010,Sector,Services,Other Services,Average,8.5,...,49.0,4.5,68.8,114.9,13.2,7.1,2.2,6.5
Chile,2010,Size,,Medium (20-99),Average,9.1,...,68.8,3.9,59.4,84.4,37.4,10.8,3.3,5.1
Chile,2010,Size,,Large (100+),Average,9.1,...,70.6,7.0,55.6,78.0,13.9,6.9,4.4,12.2
Chile,2010,Size,,Small (5-19),Average,11.6,...,46.6,3.1,141.2,105.2,6.6,20.5,3.7,6.1
Chile,2010,Location,,Antofagasta,Average,20.4,...,43.1,2.2,20.8,562.7,n.a.,7.6,0.5,3.8
Chile,2010,Location,,Los Lagos,Average,17.5,...,94.7,4.2,52.5,42.1,n.a.,23.8,3.3,3.9
Chile,2010,Location,,Santiago,Average,7.4,...,61.4,5.3,70.5,75.5,21.9,13.9,4.5,8.9
Chile,2010,Location,,Valparaiso,Average,8.9,...,92.3,3.5,66.7,35.8,42.4,5.2,2.8,2.9
Chile,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,14.2,...,47.3,8.9,62.4,159.3,28.9,14.8,2.9,9.5
Chile,2010,Exporter Type,,Non-exporter,Average,9.5,...,63.9,4.4,68.7,77.9,22.4,12.5,3.8,7.3
Chile,2010,Gender of Top Manager,,Top manager is female,Average,12.3,...,62.0,3.2,57.8,502.9,40.3,6.9,18.8,9.5
Chile,2010,Gender of Top Manager,,Top manager is male,Average,9.8,...,62.6,4.8,68.6,68.8,22.6,12.9,3.1,7.4
Chile,2010,Ownership Type,,Domestic,Average,10.1,...,60.4,4.5,65.7,88.0,23.3,12.8,3.3,4.7
Chile,2010,Ownership Type,,10% or more foreign ownership,Average,8.0,...,86.0,6.0,87.5,86.3,13.8,11.2,8.0,37.1
China,2012,,,,Average,0.9,...,59.4,2.1,27.5,29.7,26.3,6.3,3.5,1.5
China,2012,Sector,Manufacturing,All,Average,1.1,...,58.2,2.1,20.6,32.1,29.9,7.5,4.6,1.2
China,2012,Sector,Manufacturing,Food,Average,1.1,...,49.3,2.5,59.0,32.8,n.a.,6.4,1.3,0.2
China,2012,Sector,Manufacturing,Textiles,Average,0.9,...,55.9,1.9,15.2,26.0,n.a.,7.8,2.7,0.6
